id,display_key,price_kind,price_amount,effect_kind,effect_value,effect_days,requires,min_day,once_per_campaign,debt_delta,ends_rot,_phase,_src,_proposed,_notes
the_lame,OFFER_THE_LAME,troops_below_health,0.4,rot_pause,25,0,,3,false,1,false,3,§75 a Oferta e a Divida da Candeia,,'Dá-me o que já não anda.' As tropas abaixo de 40% saem e não voltam; a mancha para 25 s.
just_looking,OFFER_JUST_LOOKING,coins,1,reveal_chapter,1,0,,3,false,1,false,3,§75 a Oferta e a Divida da Candeia,,'Nada. Só quero ver.' Revela a posição de um Capítulo escondido (§77). É a oferta do minuto 17:00 do §83.
one_per_door,OFFER_ONE_PER_DOOR,troop_per_gate,1,gates_unbreakable,1,0,gate>=1,5,false,1,false,3,§75 a Oferta e a Divida da Candeia,,'Um por cada porta.' Uma tropa por portão; os portões não se arrombam esta noite.
open_gate,OFFER_OPEN_GATE,gates_open,1,mass_mult,0.6,0,,6,false,2,false,3,§75 a Oferta e a Divida da Candeia,,'Deixa a porta aberta.' Portões abertos até à alvorada; −40% de massa.
all_that_shines,OFFER_ALL_THAT_SHINES,treasury_all,0,skip_night,1,0,treasury>=80,4,true,2,false,3,§75 a Oferta e a Divida da Candeia,once_per_campaign,"'O que brilha, e nada mais.' A noite é saltada. Q-040: uma vez por campanha — saltar duas ensina a evitar o jogo."
the_tree_you_planted,OFFER_THE_TREE_YOU_PLANTED,marker,1,seed_royal,1,0,marker>=1,0,false,2,false,3,§75 a Oferta e a Divida da Candeia,,'A árvore que plantaste.' Um Marco consagrado teu (§74) por uma Semente Real.
tell_me_a_name,OFFER_TELL_ME_A_NAME,named_troop,1,rot_detours,1,0,named>=1,0,false,3,false,3,§75 a Oferta e a Divida da Candeia,,'Diz-me um nome.' Uma tropa nomeada sai e não volta (§76); a mancha contorna o império.
what_you_buried,OFFER_WHAT_YOU_BURIED,sealed_passage,1,mass_mult,0.5,0,biome=subterranean,0,false,3,false,3,§75 a Oferta e a Divida da Candeia,,'O que enterraste.' Abrir uma passagem subterrânea selada; massa a metade.
what_was_here_before,OFFER_WHAT_WAS_HERE_BEFORE,architecture,1,mass_mult_permanent,0.85,0,peoples>=2,0,false,4,false,3,§75 a Oferta e a Divida da Candeia,,"'O que estava aqui antes de ti.' A arquitetura de um povo conquistado desaparece; −15% de massa, permanente."
keep_the_lantern,OFFER_KEEP_THE_LANTERN,playable_class,1,control_rot_tonight,1,0,,15,false,5,false,3,§75 a Oferta e a Divida da Candeia,price_kind,"'Fica com a candeia por uma noite.' Preco: uma classe jogavel (§08) perdida para sempre. Efeito: controlas a mancha esta noite e mandas-la a um imperio rival. Ver Q-053: a §75 poe 'Uma classe jogavel, para sempre' na coluna Preco e a leitura como perda e a unica coerente."
an_heir,OFFER_AN_HEIR,successor,1,greed_zero_days,0,10,successor=1,0,false,5,false,3,§75 a Oferta e a Divida da Candeia,,'Um herdeiro.' O sucessor em treino (§15) por dez dias de ganância a zero.
give_back_whats_mine,OFFER_GIVE_BACK_WHATS_MINE,everything_named,1,rot_ends,1,0,debt>=12,0,false,0,true,3,§75 a Oferta e a Divida da Candeia,,'Devolve-me o que é meu.' Tudo o que tem nome; A Podridão não volta a nascer. Fecha o ciclo em vez de subir a dívida (§79).
